u,v,usage,pop_affected,pop_lost,score
1425700762,4843002567,297124,0,0,
1425700762,10088686431,295729,0,0,
10088686425,10088686431,295435,0,0,
1425700785,10088686425,294824,0,0,
1428213692,1428213705,293659,0,0,
1428213705,1428213779,293181,0,0,
1428213779,11868104696,292826,0,0,
1428213780,11868104696,292461,0,0,
1425700785,1425700795,286124,0,0,
1425700795,1425700805,285785,0,0,
1425700805,1425700809,284581,0,0,
1425700809,1425700812,284215,0,0,
1425700812,4843027140,284009,0,0,
4843027140,6330135512,283326,0,0,
4843027139,6330135512,283028,0,0,
1424618980,1424618985,268758,0,0,
1424352201,4834023388,267272,0,0,
1424352175,1424352201,266683,0,0,
1424352175,4834023406,266381,0,0,
1424618985,6329977104,266135,0,0,
6329977104,11843279902,265441,0,0,
3896154004,11843279902,264289,0,0,
3896153999,3896154004,263973,0,0,
1424619028,3896153999,263181,0,0,
1424619028,1424619125,262442,0,0,
1424619125,9765912520,261830,0,0,
1424619153,9765912520,261469,0,0,
1424619153,4834008678,260132,0,0,
4849289061,10091725357,260017,0,0,
4849289941,10091725357,259783,0,0,
3933513611,4843027139,258204,0,0,
1425700860,3933513611,258009,0,0,
1431135622,1431135625,257744,0,0,
1424619171,4834008678,257636,0,0,
1431135622,11853003889,257585,0,0,
3421891045,10130815858,257359,0,0,
1424619171,1424619172,257218,0,0,
1985586601,3805731623,257187,0,0,
1431135608,11853003889,257181,0,0,
1985586596,1985586601,257093,0,0,
1424619172,11849878877,256684,0,0,
1431135608,11853095361,256529,0,0,
1431135598,11853095361,256365,0,0,
3421866939,3421891045,255918,0,0,
11849878877,11849878898,255914,0,0,
11849878878,11849878898,255523,0,0,
3421866939,3437214512,255360,0,0,
4834023404,4834023406,251970,0,0,
4834023403,4834023404,251653,0,0,
1424351626,4834023403,250900,0,0,
1430553598,1430553625,250528,0,0,
4849289080,4849289941,250304,0,0,
4849289080,10091725362,250093,0,0,
11846683617,12231297622,249799,0,0,
4849289071,10091725362,249630,0,0,
11846683617,11846683618,249577,0,0,
10094808088,11846683618,249017,0,0,
4849289071,10091725373,248990,0,0,
1425700580,6330135571,248876,0,0,
4849289931,10091725373,248793,0,0,
3896082376,6330135571,248499,0,0,
4849289112,4849289931,248156,0,0,
1428254437,1428254514,247498,0,0,
4849289112,4849289923,247252,0,0,
4849289923,6332150481,246853,0,0,
4849307245,6332150481,246493,0,0,
4849307243,4849307245,245979,0,0,
1428254396,1428254437,245819,0,0,
1428119566,1428254396,245364,0,0,
1424396334,6243206692,244387,0,0,
1428119552,1428119566,243925,0,0,
6243206692,11700239914,243745,0,0,
1428119535,1428119552,243496,0,0,
11700239914,11700239926,243414,0,0,
6243206704,11700239926,243167,0,0,
4822053249,4849307243,242793,0,0,
3896082376,3933513589,237714,0,0,
3933513589,3933524571,237380,0,0,
3933513587,3933524571,237084,0,0,
4836077710,10094808088,236177,0,0,
4836077710,11846665277,235868,0,0,
9729730118,11846665277,235771,0,0,
3933513587,3933524561,235208,0,0,
3933524561,4843057126,233623,0,0,
